Header Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,VC5268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Plan,Rev(H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date,9/27/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Dual Band," 501~588 is correlation golden in Sigurd, 600~629 is generated in Goodark (5268Q)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
395,1,395,793.904,33.597,33.633,1668.072,39.091,33.043,1.545,1477.411,37.653,-41.137,-35.18,-57.847,-31.138,0.681,-3.929,11.436,129.634,-0.019,620.617,31.335,31.52,1184.377,34.549,30.02,1.453,976.723,30.316,-38.888,-32.334,-70.612,-31.333,-0.249,-2.093,7.142,130.414,-0.023,-1.652,-1.799,13.432,65,790.852,792.201
396,1,396,801.41,33.537,33.564,1684.239,38.112,33.034,1.558,1492.476,37.204,-41.314,-34.703,-57.313,-30.445,0.669,-3.896,11.439,130.376,-0.023,625.225,31.237,31.454,1148.923,35.103,30.021,1.454,951.605,31.144,-38.608,-33.766,-71.653,-31.002,-0.219,-2.003,7.087,132.281,-0.019,-1.629,-1.771,13.448,65,799.801,901.81
397,1,397,801.619,33.505,33.525,1663.274,38.242,33.041,1.552,1474.132,37.72,-40.904,-34.102,-57.634,-30.877,0.941,-3.85,11.563,130.51,-0.02,629.201,31.325,31.532,1173.984,34.953,30.04,1.457,966.774,30.773,-38.172,-33.257,-70.239,-30.668,-0.133,-1.991,6.684,137.372,-0.025,-1.629,-1.775,13.597,65,790.952,1055
398,1,398,763.868,33.367,33.444,1646.359,37.914,33.009,1.581,1498.362,36.859,-42.382,-33.964,-57.516,-31.144,0.692,-3.928,11.24,133.542,-0.023,616.605,31.146,31.357,1148.181,34.352,30.028,1.476,960.576,30.897,-37.553,-33.046,-71.028,-31.341,-0.166,-1.991,6.84,135.425,-0.02,-1.654,-1.784,13.578,65,791.546,933.582
399,1,399,795.793,33.797,33.866,1772.305,38.85,33.04,1.534,1539.126,36.17,-41.416,-37.477,-60.187,-30.881,1.031,-3.707,11.752,122.503,-0.023,607.117,31.356,31.559,1220.309,33.804,30.034,1.47,1005.591,29.51,-37.934,-30.684,-70.454,-31.26,-0.057,-1.887,7.192,127.765,-0.029,-1.615,-1.782,13.906,65,792.668,1057.667
400,1,400,778.817,33.737,33.833,1755.286,38.929,33.031,1.539,1537.386,36.135,-40.83,-38.023,-59.836,-31.013,0.956,-3.909,11.177,128.628,-0.022,605.696,31.348,31.53,1186.331,34.565,30.032,1.466,974.476,30.469,-37.116,-30.61,-70.832,-31.203,-0.169,-2.042,6.637,138.034,-0.02,-1.63,-1.788,13.865,65,790.803,918.168
401,1,401,762.032,33.638,33.813,1731.735,39.267,33.037,1.546,1532.408,36.302,-40.95,-39.184,-60.143,-30.751,1.127,-3.797,11.351,128.588,-0.027,599.492,31.295,31.475,1185.403,34.159,30.016,1.465,978.678,30.221,-37.413,-30.474,-70.262,-31.632,-0.129,-2.011,6.968,131.336,-0.02,-1.609,-1.785,13.738,65,798.229,1053.333
402,1,402,790.378,33.746,33.868,1761.574,39.108,33.021,1.54,1537.629,36.038,-40.881,-39.864,-60.053,-31.276,0.872,-3.85,11.165,125.741,-0.025,610.077,31.376,31.555,1203.643,34.256,30.045,1.473,990.886,30.04,-38.039,-30.52,-70.174,-31.433,-0.071,-1.945,6.676,134.289,-0.024,-1.611,-1.782,13.582,65,788.986,919.698
403,1,403,803.295,33.736,33.865,1765.144,38.997,33.04,1.533,1539.598,36.154,-39.762,-38.676,-59.323,-30.132,1.036,-3.827,10.855,132.074,-0.026,620.877,31.377,31.585,1194.172,34.768,30.032,1.457,980.529,30.275,-40.591,-30.297,-70.177,-29.531,-0.114,-1.992,6.487,137.1,-0.022,-1.626,-1.8,13.782,65,789.995,1096.667
404,1,404,813.123,33.737,33.848,1770.988,38.716,33.043,1.533,1544.236,36.079,-39.759,-37.213,-60.276,-31.082,0.943,-3.928,11.113,129.499,-0.023,620.845,31.381,31.582,1191.85,34.818,30.008,1.445,973.963,30.315,-40.289,-30.416,-70.35,-30.777,-0.237,-2.074,6.967,133.518,-0.018,-1.633,-1.801,13.817,65,802.229,952.815
405,1,405,798.522,33.669,33.798,1788.778,37.898,33.041,1.545,1575.648,35.36,-39.186,-37.491,-59.773,-30.936,0.97,-3.863,11.052,125.862,-0.024,617.016,31.268,31.479,1189.784,34.06,30.029,1.461,984.938,30.116,-37.825,-30.342,-70.16,-30.277,-0.184,-2.044,6.871,135.007,-0.02,-1.632,-1.807,13.768,65,793.836,1073.333
406,1,406,807.145,33.668,33.768,1719.235,39.141,33.032,1.555,1511.194,36.741,-41.755,-36.731,-59.626,-31.486,0.687,-3.903,10.811,131.584,-0.028,626.27,31.33,31.503,1209.723,33.669,30.037,1.487,999.788,29.712,-40.071,-30.63,-70.072,-32.109,-0.159,-2.022,6.263,138.157,-0.021,-1.638,-1.8,14.001,65,789.916,910.997
407,1,407,805.833,33.722,33.756,1718.424,39.055,33.028,1.52,1487.422,37.284,-40.695,-35.908,-57.718,-30.547,0.749,-3.839,11.37,128.257,-0.021,625.917,31.438,31.627,1202.505,34.86,30.03,1.442,982.546,30.201,-39.528,-33.651,-71.341,-29.481,-0.168,-1.99,6.999,134.652,-0.021,-1.642,-1.785,14,65,808.706,1050.667
408,1,408,818.347,33.761,33.808,1769.269,38.405,33.024,1.506,1528.152,36.282,-41.41,-36.95,-59.17,-30.571,0.869,-3.891,11.539,124.462,-0.023,624.655,31.237,31.488,1191.677,34.072,30.011,1.433,983.025,30.047,-36.648,-32.817,-71.627,-30.048,-0.204,-2.004,7.08,134.263,-0.023,-1.618,-1.786,19.296,615,1371.333,1004.489
409,1,409,786.968,33.588,33.684,1691.657,39.008,33.033,1.542,1486.944,37.338,-41.16,-35.265,-57.354,-30.748,0.839,-3.842,11.55,125.26,-0.021,625.279,31.419,31.612,1221.099,34.194,30.024,1.459,1000.065,29.612,-38.77,-32.366,-70.511,-31.318,-0.169,-1.951,6.913,134.428,-0.025,-1.641,-1.798,13.863,65,785.381,718.763
410,1,410,800.08,33.561,33.587,1647.045,39.173,33.032,1.553,1457.868,38.044,-39.55,-35.722,-57.459,-31.113,0.703,-3.928,11.433,129.069,-0.021,624.605,31.335,31.524,1184.023,34.586,30.029,1.468,975.905,30.406,-39.083,-32.488,-70.273,-31.609,-0.208,-2.01,6.387,137.517,-0.019,-1.644,-1.798,13.538,65,788.072,781.117
501,1,501,841.5156667,33.71466667,33.91533333,1676.31,41.51066667,33.03,1.502666667,1453.984667,38.684,-37.845,-40.49066667,-57.77633333,-31.091,0.118,-4.241333333,12.21933333,117.8346667,0.005333333,658.7123333,31.21933333,31.51633333,1176.926,34.807,30.01933333,1.442666667,942.797,30.384,-42.19333333,-33.76766667,-68.537,-27.753,0.732333333,-1.460333333,7.750666667,127.1423333,-0.032333333,-1.702,-1.704333333,12.71033333,35,474.6646667,68750.03733
502,1,502,810.2653333,33.49133333,33.689,1582.046,41.756,33.02133333,1.514666667,1406.341333,39.88866667,-38.76666667,-41.85933333,-58.09766667,-30.943,0.341,-4.394333333,11.98,121.3836667,0.006333333,633.1973333,31.05833333,31.366,1123.547333,35.25766667,30.00733333,1.444,912.1863333,31.31266667,-42.71633333,-33.87333333,-68.66733333,-26.59366667,0.701,-1.590333333,7.605,129.1596667,-0.028333333,-1.673,-1.694,13.11933333,35,412.137,15666.77233
503,1,503,829.5333333,33.68933333,33.883,1682.075,41.05866667,33.02366667,1.51,1467.405,38.28466667,-38.922,-41.95833333,-58.365,-31.00633333,0.011666667,-4.296,11.84833333,121.225,0.003333333,644.713,31.07833333,31.37433333,1149.484,34.508,30.01066667,1.452333333,931.2663333,30.698,-41.91333333,-33.74466667,-68.90166667,-27.018,0.619,-1.510666667,7.398666667,130.427,-0.032,-1.690666667,-1.709,13.27633333,35,451.9046667,12337.677
504,1,504,847.7856667,33.62266667,33.828,1652.028667,41.28233333,33.02866667,1.504,1438.909333,39.072,-37.799,-39.83,-56.72066667,-31.219,0.433666667,-4.615,12.08533333,120.916,0.001,656.545,31.00666667,31.31333333,1125.376333,34.776,30.00966667,1.451333333,916.612,31.17966667,-41.32933333,-32.215,-66.96566667,-25.73366667,0.771,-1.761666667,7.534,132.2046667,-0.039333333,-1.662666667,-1.668,13.085,35,453.6293333,14938.62033
505,1,505,824.0013333,33.54333333,33.77366667,1636.185333,41.16633333,33.02666667,1.526666667,1451.019667,38.737,-35.97733333,-39.07966667,-56.684,-30.67,-0.152,-4.712333333,11.81233333,124.266,-0.003333333,648.1226667,31.129,31.42733333,1173.034667,34.218,30.00833333,1.459,940.1626667,30.391,-40.78733333,-30.20866667,-67.24,-30.70466667,0.732333333,-1.849,7.417,130.4306667,-0.033,-1.647666667,-1.649666667,9.105666667,535,953.314,15547.5
506,1,506,846.581,33.92733333,34.12733333,1803.954,40.492,33.031,1.501666667,1538.464,36.61133333,-39.86033333,-43.85066667,-58.92,-31.02866667,0.127666667,-4.226333333,11.653,125.906,-0.000333333,664.937,31.17833333,31.46,1182.345333,34.19833333,30.04366667,1.457,954.3733333,30.18466667,-40.76333333,-31.92333333,-68.218,-25.95733333,0.802333333,-1.408333333,7.302666667,133.3136667,-0.030666667,-1.676333333,-1.692333333,13.183,35,446.387,13283.31233
507,1,507,849.494,33.85466667,34.06233333,1762.835667,40.82466667,33.04266667,1.500333333,1515.469667,37.256,-40.436,-43.84666667,-59.10733333,-31.41733333,0.095,-4.199333333,11.47533333,125.884,0.003,669.822,31.14,31.43733333,1153.661,34.885,30.01,1.439666667,929.5126667,30.75166667,-42.249,-32.328,-67.85933333,-26.58033333,0.696666667,-1.491666667,7.663666667,129.3983333,-0.03,-1.662,-1.672,13.287,35,449.102,13218.95967
508,1,508,837.6546667,33.713,33.92666667,1692.552,41.219,33.01733333,1.506333333,1467.156667,38.232,-38.91166667,-40.27166667,-57.27533333,-31.32533333,-0.071666667,-4.3,11.82066667,122.568,-0.000333333,650.8546667,31.11033333,31.409,1159.005,34.49366667,30.00666667,1.448333333,935.0146667,30.54633333,-42.27233333,-31.81366667,-68.15733333,-26.45666667,0.695333333,-1.496666667,7.407333333,131.9906667,-0.036,-1.675333333,-1.687666667,13.00933333,35,450.6576667,14915.21
509,1,509,842.577,33.72133333,33.92866667,1687.622333,41.35533333,33.01766667,1.506666667,1461.940667,38.37133333,-38.307,-41.13233333,-57.41866667,-31.042,0.138,-4.345333333,12.013,121.3333333,0.003333333,655.4983333,31.205,31.48233333,1166.200667,34.86,30.02266667,1.444333333,933.3813333,30.71533333,-41.45533333,-33.58,-68.12,-29.36366667,0.712666667,-1.514666667,7.605333333,129.3616667,-0.039333333,-1.652666667,-1.673,12.80533333,35,443.8266667,12982.73833
510,1,510,820.5016667,33.669,33.883,1676.814333,41.18866667,33.00833333,1.512333333,1458.17,38.38533333,-39.168,-42.657,-58.672,-31.29033333,0.278666667,-4.610333333,11.73233333,122.8593333,0.003333333,638.4133333,31.00333333,31.293,1142.100333,34.092,30.024,1.467333333,936.7606667,30.61233333,-41.75,-31.86233333,-66.90933333,-28.443,0.607666667,-1.799333333,7.442333333,127.9956667,-0.028666667,-1.685333333,-1.688,13.47133333,35,442.1436667,13783.537
511,1,511,844.978,33.60466667,33.78766667,1658.622,40.73666667,33.01766667,1.514,1446.593667,38.77066667,-36.246,-38.63,-56.889,-30.148,0.132666667,-4.262666667,11.91566667,124.8106667,0.009333333,661.678,31.088,31.35366667,1155.008667,34.179,30.017,1.457333333,935.9706667,30.586,-43.022,-33.389,-67.967,-28.998,0.699333333,-1.443666667,7.485333333,132.0066667,-0.032,-1.721,-1.734,13.26266667,35,403.5076667,16369.352
512,1,512,810.4233333,33.55033333,33.78433333,1667.496,40.48766667,33.02333333,1.521,1479.598333,37.97266667,-37.75266667,-39.89766667,-56.794,-30.757,0.119666667,-4.355333333,11.755,121.6096667,-0.001333333,638.4656667,30.99433333,31.287,1121.725667,34.67833333,30.04266667,1.454666667,919.683,31.314,-42.16866667,-35.04,-67.851,-30.90733333,0.711,-1.511333333,7.595,128.285,-0.033666667,-1.669,-1.705,12.631,35,459.1506667,12737.766
513,1,513,842.7123333,33.52933333,33.68633333,1585.328,41.643,33.025,1.510666667,1389.323667,40.403,-36.05,-40.554,-57.83466667,-29.59733333,0.017666667,-4.443666667,12.29966667,118.4173333,0.002666667,659.3446667,31.08833333,31.38033333,1146.586,34.647,30.039,1.457666667,930.047,30.939,-42.14966667,-32.86533333,-68.68533333,-28.46533333,0.703,-1.644333333,7.655,127.293,-0.034333333,-1.686,-1.695333333,13.46366667,35,360.6566667,14551.443
514,1,514,837.218,33.55133333,33.73,1619.995333,41.164,33.02,1.504666667,1424.247,39.387,-35.022,-39.932,-57.24533333,-30.97333333,0.191666667,-4.306333333,11.997,124.0383333,0.008333333,654.874,31.14733333,31.44033333,1180.117333,34.109,30.01266667,1.444666667,951.588,30.057,-41.41033333,-33.085,-68.70333333,-26.08333333,0.769666667,-1.474333333,7.223333333,134.3663333,-0.039666667,-1.63,-1.664333333,13.545,35,469.0913333,12218.775
515,1,515,839.2653333,33.55233333,33.72133333,1618.098667,41.128,33.01766667,1.501,1414.252,39.63933333,-34.93733333,-40.08333333,-57.99766667,-30.79566667,-0.093,-4.605666667,12.05733333,125.2066667,0.008,650.5916667,31.18333333,31.48066667,1182.736333,34.34866667,30.028,1.445666667,955.201,30.04833333,-42.05133333,-32.192,-68.74533333,-25.22466667,0.757,-1.700333333,7.423666667,134.8586667,-0.030666667,-1.675333333,-1.680333333,13.655,35,420.612,12710.6
516,1,516,840.9663333,33.78366667,33.98766667,1747.316,40.48866667,33.02033333,1.513333333,1508.222,37.24033333,-38.809,-40.14,-57.78133333,-30.76766667,0.082666667,-4.602666667,11.66966667,124.3893333,-0.001666667,656.5146667,31.08333333,31.36966667,1152.020667,34.397,30.04166667,1.462333333,938.5596667,30.68,-42.71266667,-32.80733333,-67.96666667,-29.01066667,0.707,-1.762333333,7.527,127.886,-0.032,-1.704,-1.697333333,13.795,35,404.5106667,14637.72133
517,1,517,825.371,33.49266667,33.685,1575.377667,41.89533333,33.021,1.521333333,1398.258,40.113,-36.46033333,-40.80833333,-57.32233333,-31.071,0.357333333,-4.322666667,11.54433333,128.3666667,0.005,649.357,31.11666667,31.41566667,1137.124667,35.23,30.02666667,1.449333333,917.9816667,31.25433333,-42.504,-33.05133333,-68.13533333,-25.85133333,0.687666667,-1.501,7.229333333,133.5706667,-0.031,-1.644666667,-1.667666667,12.955,35,453.09,12506.65233
518,1,518,829.2926667,33.54133333,33.73,1613.628,41.32366667,33.01733333,1.511333333,1419.37,39.49633333,-37.14466667,-40.398,-57.45566667,-29.912,0.078,-4.360666667,12.016,125.6466667,0.004666667,639.9486667,31.10633333,31.39566667,1151.726667,34.61233333,30.042,1.455333333,931.9363333,30.897,-41.368,-32.95166667,-69.01366667,-28.44866667,0.678666667,-1.517333333,7.649333333,131.1343333,-0.035666667,-1.632666667,-1.668333333,12.922,35,443.0596667,16205.27333
519,1,519,824.137,33.329,33.48733333,1520.124333,41.48933333,33.03566667,1.535333333,1371.289667,41.02666667,-33.447,-39.84266667,-57.26033333,-30.149,0.197333333,-4.456333333,12.253,121.493,0.001,645.1046667,31.20766667,31.50866667,1177.023667,34.743,30.03366667,1.454666667,940.4036667,30.56066667,-43.56233333,-31.80133333,-68.04633333,-27.696,0.771333333,-1.540333333,7.317,131.213,-0.035,-1.646666667,-1.685,13.14166667,35,453.1466667,12690.046
520,1,520,822.2403333,33.68633333,33.886,1676.166667,41.23366667,33.034,1.524666667,1468.932667,38.33566667,-39.09833333,-41.58566667,-57.96466667,-30.62833333,-0.011,-4.369,11.495,131.7256667,-0.005666667,651.3286667,31.22833333,31.502,1177.588333,34.671,30.035,1.459,939.9146667,30.58766667,-42.62866667,-32.463,-68.322,-27.535,0.750666667,-1.553666667,7.309,136.3993333,-0.032333333,-1.668333333,-1.679666667,13.55933333,35,411.542,14046.43833
521,1,521,816.166,33.55133333,33.71333333,1604.784333,41.39233333,33.027,1.51,1418.662667,39.60466667,-35.48766667,-40.85333333,-57.853,-30.555,0.17,-4.265,12.15233333,121.749,0.012333333,641.9356667,31.23466667,31.51966667,1177.181667,34.82666667,30.015,1.439333333,942.6013333,30.35933333,-43.03333333,-32.99733333,-68.764,-27.67666667,0.697,-1.487666667,7.766,126.49,-0.033,-1.663333333,-1.695333333,13.11366667,35,543.3603333,15695.94567
522,1,522,822.8346667,33.51266667,33.693,1591.334,41.548,33.031,1.520333333,1414.056333,39.76766667,-37.70833333,-40.57233333,-57.77466667,-30.958,0.173,-4.224333333,11.864,126.0743333,0,646.7526667,31.14833333,31.42266667,1161.473667,34.52866667,30.01266667,1.452333333,935.323,30.57866667,-42.37133333,-32.29133333,-68.68333333,-26.04633333,0.671666667,-1.426,7.262,132.5516667,-0.026333333,-1.643333333,-1.685666667,12.95,35,446.154,13520.219
523,1,523,636.49,18.90125,19.30875,1248.63725,31.0035,18.28425,1.57725,1080.3235,29.07825,-48.62,-47.1105,-63.4975,-40.73775,-16.908,-19.9075,-2.7105,93.875,0.44525,493.164,17.68275,17.6345,886.2135,25.6615,15.12675,1.536,711.25375,22.58425,-61.00975,-40.24575,-71.82225,-39.1475,-14.52,-16.37675,-5.3985,97.9485,-0.06675,-17.14025,-11.5115,10.238,35,390.95175,14519.01075
524,1,524,824.799,33.63766667,33.84866667,1659.179,41.301,33.02966667,1.508333333,1452.201333,38.73,-39.08133333,-41.41833333,-57.78466667,-31.339,0.640666667,-4.293333333,12.17833333,116.6826667,0.002,640.1443333,31.07733333,31.37466667,1161.150333,34.15933333,30.02766667,1.461333333,946.666,30.31866667,-42.72866667,-34.98333333,-68.22133333,-27.97266667,1.383666667,-1.476666667,7.604333333,126.2906667,-0.033,-1.781666667,-1.710333333,13.421,35,401.8743333,17335.78767
525,1,525,829.812,33.62433333,33.84033333,1652.999667,41.373,33.02666667,1.509,1449.68,38.77033333,-39.09433333,-41.89366667,-58.377,-31.38966667,-0.223333333,-4.507666667,11.375,130.873,0.006,650.4556667,31.08866667,31.38133333,1146.247333,34.666,30.04833333,1.451,930.2726667,30.999,-42.20833333,-31.85566667,-67.268,-25.76533333,0.692666667,-1.617666667,7.306,134.722,-0.031666667,-1.657333333,-1.669666667,13.006,35,410.85,13936.953
526,1,526,860.325,33.78933333,33.952,1703.676333,41.18933333,33.01933333,1.491,1459.870667,38.44033333,-36.84433333,-42.179,-58.59933333,-31.309,-0.377666667,-4.444333333,11.94766667,124.4963333,0.003666667,672.3506667,31.09666667,31.38033333,1167.849,34.001,30.03033333,1.452,944.197,30.41533333,-40.46133333,-34.38866667,-69.33033333,-26.56033333,0.624333333,-1.626666667,7.242,135.9216667,-0.027333333,-1.654,-1.667333333,12.91333333,35,453.7066667,13906.43467
527,1,527,851.955,33.881,34.08633333,1771.107667,40.86133333,33.01433333,1.497666667,1510.118667,37.14266667,-40.345,-42.79033333,-58.59933333,-31.395,-0.144,-4.500333333,11.44033333,128.709,0.003333333,669.8293333,31.105,31.382,1167.194,34.03666667,30.03366667,1.453666667,944.9646667,30.41633333,-41.63733333,-32.09833333,-67.552,-26.968,0.626333333,-1.662,7.418,132.413,-0.032333333,-1.67,-1.668666667,12.95333333,35,453.7563333,11321.34067
528,1,528,837.2033333,33.70633333,33.91266667,1692.898333,41.078,33.02033333,1.491666667,1467.977,38.239,-37.65566667,-39.74966667,-57.26233333,-31.08633333,-0.051666667,-4.303333333,11.732,127.3086667,0.01,655.4836667,31.22166667,31.49166667,1157.003,35.22066667,30.00933333,1.427666667,926.7956667,30.836,-44.77,-34.322,-67.74466667,-28.63,0.797,-1.493,7.707,129.9203333,-0.032333333,-1.671,-1.696666667,13.521,35,437.27,15177.175
529,1,529,832.5516667,33.55266667,33.73933333,1641.461667,40.70933333,33.02533333,1.511666667,1446.225,38.848,-37.32933333,-39.63433333,-56.56966667,-30.988,0.048666667,-4.393333333,12.196,119.162,0.013333333,649.553,31.22833333,31.50833333,1178.950333,34.68,30.02,1.442,946.011,30.28566667,-42.31333333,-36.07433333,-68.041,-27.68266667,0.671666667,-1.569666667,7.642666667,128.2543333,-0.038333333,-1.658333333,-1.685,13.04433333,35,451.684,21940.02133
530,1,530,832.228,33.504,33.693,1608.841,41.09533333,33.02466667,1.52,1429.839667,39.27933333,-35.09533333,-39.13366667,-57.10866667,-31.22533333,0.165,-4.229666667,11.818,121.6576667,0.004,647.3776667,31.118,31.42833333,1172.221667,34.247,30.03433333,1.466,945.356,30.40366667,-42.536,-32.84633333,-68.78666667,-27.48133333,0.64,-1.431,7.076333333,132.041,-0.036333333,-1.673666667,-1.695333333,12.79833333,35,312.9563333,14611.242
531,1,531,824.9346667,33.518,33.696,1596.798333,41.438,33.02933333,1.521666667,1421.048333,39.56233333,-36.94566667,-41.32033333,-57.86566667,-30.80266667,0.045333333,-4.43,11.93566667,124.3953333,0.004333333,645.2023333,31.12666667,31.40933333,1152.562333,34.69433333,30.01866667,1.455,926.848,30.898,-42.41566667,-32.40866667,-68.755,-26.95333333,0.650666667,-1.603,7.140333333,136.9156667,-0.028666667,-1.644333333,-1.675333333,13.105,35,399.2066667,13973.45
532,1,532,841.0493333,33.66233333,33.84233333,1672.034667,40.91966667,33.01866667,1.489,1453.127,38.60966667,-36.642,-38.26333333,-57.37233333,-31.17466667,0.071,-4.468666667,12.20666667,120.805,0.005333333,655.4686667,31.184,31.47533333,1180.433667,34.37533333,30.043,1.44,955.2386667,30.15433333,-43.25133333,-33.454,-68.57,-26.75233333,0.667333333,-1.62,7.762666667,129.609,-0.036,-1.712,-1.721,13.06766667,35,357.1656667,13641.89333
533,1,533,827.1926667,33.65933333,33.86166667,1665.350667,41.26966667,33.014,1.504666667,1448.016333,38.701,-37.45233333,-40.81166667,-57.231,-31.13966667,0.151666667,-4.327666667,11.41566667,129.7216667,0.002666667,654.8893333,31.07666667,31.359,1139.021667,34.713,30.03233333,1.452666667,925.8546667,31.03266667,-41.66933333,-35.27233333,-68.398,-25.85466667,0.665333333,-1.523,7.373,133.4066667,-0.030666667,-1.666333333,-1.686333333,13.245,35,358.7393333,12374.82667
534,1,534,844.451,33.678,33.835,1653.157667,41.32066667,33.028,1.514,1439.533667,39.04933333,-35.145,-42.59866667,-57.67266667,-31.40166667,-0.150666667,-4.289666667,11.742,124.4313333,0.011333333,659.089,31.138,31.43633333,1175.021667,34.22566667,30.016,1.459,947.456,30.21166667,-40.84966667,-31.72466667,-68.975,-25.921,0.648666667,-1.494,6.918333333,135.8333333,-0.034333333,-1.660333333,-1.685666667,13.37733333,35,347.185,15145.20667
535,1,535,836.0743333,33.56766667,33.746,1609.977667,41.569,33.03633333,1.495666667,1418.241,39.69866667,-37.20766667,-41.31066667,-58.08533333,-30.96366667,0.252,-4.400333333,12.039,121.7496667,0.004666667,653.5716667,31.233,31.53666667,1181.878333,34.82,30.01933333,1.439333333,943.1206667,30.37233333,-42.09233333,-33.169,-68.75533333,-26.95666667,0.628666667,-1.578,7.352666667,132.097,-0.031,-1.648333333,-1.678333333,13.177,35,363.836,12993.105
536,1,536,805.3503333,33.42366667,33.61933333,1559.263,41.69266667,33.03466667,1.529666667,1401.855667,40.139,-34.577,-39.67433333,-57.63766667,-30.687,0.093666667,-4.349666667,12.19733333,118.9866667,-0.002,637.5026667,30.994,31.31033333,1135.627333,34.42966667,30.04433333,1.467666667,925.644,31.123,-42.60433333,-32.63166667,-68.59866667,-28.13633333,0.689666667,-1.522,7.283666667,131.233,-0.037,-1.682333333,-1.695666667,13.34233333,35,446.3966667,12339.77033
537,1,537,836.902,33.701,33.90833333,1696.932667,40.93466667,33.02566667,1.497,1473.200667,38.154,-37.26433333,-40.28466667,-57.079,-31.36833333,-0.199666667,-4.397333333,11.97166667,123.7106667,0.005,654.1213333,31.17966667,31.45833333,1160.758667,34.83166667,30.018,1.431,934.7436667,30.63566667,-41.25466667,-33.58,-68.537,-25.49533333,0.709666667,-1.604666667,7.954666667,129.0653333,-0.033,-1.65,-1.676333333,13.123,35,408.1166667,13411.36533
538,1,538,817.3776667,33.63766667,33.873,1677.755,41.07066667,33.02066667,1.511333333,1469.994333,38.19133333,-38.25133333,-40.65066667,-57.75933333,-29.917,-0.144333333,-4.338333333,12.00533333,121.08,-0.001,632.2786667,31.112,31.40833333,1152.058,34.704,30.02733333,1.456666667,929.9193333,30.85833333,-42.50033333,-32.40133333,-68.201,-29.684,0.653666667,-1.516333333,7.825333333,127.9116667,-0.036,-1.671333333,-1.695666667,12.91066667,35,454.6146667,12897.095
539,1,539,838.5956667,33.584,33.75433333,1620.567333,41.38033333,33.01266667,1.506666667,1417.638667,39.49833333,-36.10833333,-42.25666667,-58.406,-30.39866667,0.199666667,-4.249666667,11.906,124.56,0.013,654.5576667,31.21233333,31.49566667,1183.436667,34.44733333,30.021,1.450666667,954.027,30.03666667,-41.64033333,-34.06466667,-69.36966667,-24.614,0.72,-1.445,7.458333333,132.388,-0.034333333,-1.665,-1.682333333,13.30866667,35,450.7046667,13249.19367
540,1,540,819.1916667,33.64033333,33.83466667,1648.430667,41.438,33.016,1.497666667,1436.229667,39.02933333,-37.78733333,-41.74266667,-58.315,-30.233,-0.029333333,-4.374333333,12.14,122.7503333,0.004,644.9463333,31.116,31.385,1154.677333,34.43666667,30.01166667,1.449,931.334,30.70066667,-42.46733333,-32.10166667,-68.29366667,-28.68166667,0.653333333,-1.577,7.746333333,129.8743333,-0.026333333,-1.666333333,-1.677333333,12.97066667,35,401.787,14203.55033
541,1,541,853.1593333,33.89733333,34.06166667,1746.412667,41.205,33.04233333,1.49,1485.288,37.99566667,-39.99566667,-43.51133333,-59.25866667,-30.98366667,0.152333333,-4.279333333,11.846,127.1373333,0.01,670.379,31.27066667,31.54333333,1170.242333,35.22766667,30.00166667,1.427,930.7166667,30.65233333,-40.897,-32.54233333,-69.05833333,-25.17533333,0.681333333,-1.492666667,7.782,132.1913333,-0.031,-1.667333333,-1.683,13.59766667,35,395.8243333,13428.18667
542,1,542,838.919,33.70933333,33.92466667,1701.117667,40.98766667,33.021,1.498666667,1478.491667,37.98266667,-38.463,-40.52533333,-57.326,-31.50233333,0.013,-4.426,11.77966667,123.2726667,0,654.7613333,31.05666667,31.371,1152.043,34.405,30.03166667,1.441666667,942.0293333,30.49533333,-41.27633333,-32.051,-68.00166667,-27.78766667,0.735666667,-1.583,7.949,124.899,-0.038,-1.655333333,-1.669,13.56833333,35,401.5876667,12473.59967
543,1,543,833.56,33.47466667,33.643,1577.733667,41.42833333,33.033,1.513333333,1405.212333,40.02966667,-37.44766667,-39.114,-57.97366667,-31.281,0.36,-4.362333333,11.91233333,123.6056667,0.013333333,655.243,31.07333333,31.37366667,1152.675,34.405,30.032,1.455,938.349,30.617,-43.72233333,-33.019,-68.233,-26.00366667,0.646333333,-1.505666667,7.308,132.1416667,-0.034333333,-1.706333333,-1.713666667,12.69133333,35,453.5486667,13507.035
