Header Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,VC7810E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Plan,Rev(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date,2012/10/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,VC7810E_Q_sigurd_PAx01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
57,1,57,887.362,33.94,34.063,1794.795,40.572,33.026,1.514,1524.86,37.613,-28.191,-30.081,-57.779,-26.008,-3.36,-14.61,-3.661,-5.068,12.817,105.243,-0.029,883.432,33.705,34.073,1767.997,41.277,33.047,1.5,1524.274,37.804,-45.027,-40.315,-49.366,-25.143,-3.165,-14.642,-3.608,-4.525,13.626,106.939,-0.069,921.161,31.629,31.869,1120.098,39.229,30.019,1.4,852.343,33.669,-39.48,-36.508,-61.396,-28.927,-21.178,-19.603,-2.406,-3.35,7.951,142.592,-0.035,914.82,30.924,31.497,1124.815,35.853,30.013,1.447,869.909,32.942,-41.124,-34.162,-61.586,-27.797,-19.497,-18.586,-1.735,-2.841,8.218,143.027,-0.061,897.064,26.928,-6.951,972.599,14.61,33.879,6.296,-61.15,-59.701,898.182,26.942,-5.739,959.899,14.885,32.681,5.922,-63.408,-61.76,803.682,26.444,-8.425,819.888,15.727,34.869,5.173,-63.306,-62.693,789.058,26.453,-5.341,851.821,15.735,31.794,4.798,-62.882,-62.616,186.404,25.033,-5.299,630.849,15.134,30.331,-39.126,-42.118,-55.552,-59.706,1.633,-1.467,-1.417,-1.377,-1.596,0.029,5,1709,15579
58,1,58,876.586,34.063,34.161,1810.612,41.136,33.036,1.483,1512.985,37.986,-31.983,-31.835,-58.081,-25.884,-3.376,-15.02,-3.656,-5.066,12.906,105.665,-0.017,872.54,33.757,34.08,1774.89,41.192,33.021,1.482,1523.124,37.61,-40.204,-39.413,-48.057,-25.528,-3.195,-15.401,-3.597,-4.522,13.806,107.435,-0.068,945.436,31.68,31.962,1135.487,39.529,30.007,1.376,853.381,33.536,-39.495,-34.598,-60.911,-30.309,-20.115,-18.327,-2.395,-3.35,8.144,141.891,-0.039,939.061,30.993,31.594,1152.689,35.78,30.026,1.432,883.912,32.52,-42.044,-33.162,-63.435,-28.975,-18.433,-17.215,-1.725,-2.842,8.312,141.215,-0.071,877.473,26.928,-7.194,957.526,14.839,34.122,6.24,-61.035,-59.621,878.072,26.937,-5.819,947.597,15.062,32.756,6.318,-62.816,-61.342,744.38,26.442,-7.832,773.661,16.684,34.274,6.075,-60.509,-59.715,729.956,26.443,-5.181,809.794,16.565,31.624,5.676,-60.741,-60.145,169.095,25.041,-4.99,641.759,14.893,30.031,-39.104,-42.032,-55.161,-60.539,1.636,-1.452,-1.409,-1.365,-1.615,0.028,5,1744,15160
59,1,59,890.139,34.006,34.135,1857.51,39.854,33.015,1.528,1573.538,36.355,-26.498,-29.671,-58.633,-26.324,-3.333,-14.42,-3.663,-5.07,12.528,106.003,-0.052,886.074,33.775,34.171,1836.884,40.637,33.024,1.506,1567.51,36.569,-45.067,-41.117,-51.284,-25.653,-3.134,-14.453,-3.611,-4.528,13.459,107.392,-0.086,952.757,31.757,31.984,1155.956,39.033,30.006,1.394,866.968,33.002,-38.504,-36.358,-60.442,-30.47,-20.288,-18.83,-2.409,-3.351,8.112,140.507,-0.043,945.873,31.051,31.642,1175.906,35.462,30.046,1.45,901.471,32.031,-41.439,-33.503,-61.326,-28.754,-18.668,-17.796,-1.74,-2.842,8.274,139.998,-0.071,896.34,26.92,-6.778,987.793,14.356,33.697,6.715,-60.57,-59.337,896.896,26.931,-5.585,973.795,14.635,32.516,6.427,-62.399,-60.747,788.45,26.442,-8.582,810.637,15.907,35.025,5.668,-61.962,-61.218,773.924,26.448,-5.297,846.321,15.823,31.744,5.077,-61.983,-61.559,183.999,24.993,-5.22,657.274,14.368,30.213,-39.1,-42.407,-55.298,-59.795,1.596,-1.442,-1.442,-1.354,-1.66,0.029,5,1692,19869
60,1,60,893.419,33.94,34.055,1816.348,40.015,33.026,1.504,1544.31,37.134,-29.751,-30.587,-57.848,-26.712,-3.341,-14.769,-3.66,-5.067,12.915,103.929,-0.01,889.752,33.8,34.152,1812.788,40.999,33.041,1.487,1549.088,37.149,-45.411,-40.288,-48.673,-25.519,-3.147,-14.916,-3.607,-4.524,13.709,106.453,-0.072,949.962,31.65,31.889,1125.526,39.214,30.02,1.387,852.071,33.69,-39.393,-35.816,-61.412,-30.583,-20.484,-18.772,-2.406,-3.351,7.858,143.988,-0.037,943.375,30.96,31.521,1133.384,35.78,30.023,1.437,872.659,32.914,-41.1,-33.824,-61.245,-28.955,-18.851,-17.788,-1.735,-2.842,8.097,144.428,-0.052,898.74,26.922,-6.851,979.211,14.491,33.773,6.604,-60.961,-59.651,900.201,26.937,-5.708,969.325,14.722,32.645,6.198,-62.968,-61.28,783.522,26.443,-8.355,801.48,16.093,34.797,5.671,-62.653,-62.08,768.898,26.45,-5.237,834.301,16.074,31.686,5.145,-62.534,-62.442,174.973,25.039,-5.058,631.065,15.151,30.096,-39.201,-42.092,-55.458,-60.725,1.645,-1.436,-1.42,-1.398,-1.634,0.028,5,1612,14396
61,1,61,881.641,34.083,34.196,1868.153,40.192,33.01,1.512,1565.866,36.492,-28.163,-30.653,-58.782,-26.454,-3.373,-14.669,-3.664,-5.068,12.679,104.978,-0.042,877.278,33.769,34.162,1837.833,40.535,33.026,1.499,1568.679,36.562,-45.04,-40.915,-50.152,-25.878,-3.182,-14.788,-3.611,-4.524,13.569,106.756,-0.076,952.88,31.538,31.771,1099.282,39.081,30.012,1.392,842.325,34.014,-38.101,-36.599,-61.392,-30.668,-20.861,-19.419,-2.41,-3.35,8.229,139.433,-0.031,946.565,30.842,31.388,1123.289,35.013,30.027,1.456,882.461,32.58,-39.198,-33.968,-62.497,-29.208,-19.14,-18.347,-1.74,-2.842,8.329,138.556,-0.065,882.189,26.912,-6.967,976.438,14.498,33.879,6.931,-60.39,-59.227,882.442,26.932,-5.576,964.315,14.781,32.508,6.61,-62.071,-60.694,776.274,26.445,-8.087,794.528,16.246,34.532,5.423,-62.646,-62.194,761.802,26.444,-5.067,830.297,16.134,31.511,5.362,-62.625,-61.675,178.804,25.039,-4.817,646.394,14.777,29.857,-38.438,-41.246,-55.564,-60.382,1.786,-1.465,-1.419,-1.339,-1.614,0.029,5,1639,25428
62,1,62,851.683,33.943,34.056,1760.076,41.304,33.028,1.493,1491.54,38.471,-33.477,-32.241,-57.551,-25.762,-3.36,-14.864,-3.656,-5.067,12.966,104.215,-0.007,847.376,33.577,33.969,1710.887,41.65,33.028,1.496,1492.131,38.459,-39.786,-39.536,-47.501,-25.048,-3.173,-15.14,-3.6,-4.523,13.79,105.732,-0.072,904.228,31.559,31.871,1111.622,39.547,30.017,1.388,843.848,33.989,-39.788,-35.088,-61.487,-29.405,-20.505,-18.726,-2.396,-3.35,8.309,138.963,-0.045,897.66,30.808,31.443,1114.75,35.729,30.04,1.45,870.542,33.124,-40.827,-33.432,-62.036,-28.356,-18.755,-17.591,-1.725,-2.842,8.496,138.757,-0.067,852.258,26.918,-6.841,933.426,15.194,33.759,6.779,-60.92,-59.699,851.393,26.928,-5.613,921.011,15.472,32.541,6.657,-62.871,-61.221,745.984,26.44,-7.775,775.138,16.643,34.214,5.809,-61.484,-60.9,731.597,26.446,-4.973,809.437,16.586,31.419,5.435,-61.796,-61.514,172.127,25.038,-4.613,632.378,15.117,29.651,-38.62,-41.413,-55.665,-60.016,1.726,-1.437,-1.43,-1.362,-1.617,0.028,5,1636,11095
63,1,63,896.869,33.896,34.025,1804.436,40.002,33.023,1.523,1543.092,37.142,-31.965,-30.169,-59.09,-27.671,-3.35,-14.534,-3.659,-5.063,12.765,102.029,-0.025,892.957,33.752,34.118,1793.559,41.117,33.029,1.499,1537.288,37.33,-46.412,-40.771,-49.655,-26.514,-3.151,-14.7,-3.605,-4.519,13.69,105.448,-0.076,889.268,31.456,31.679,1092.987,38.48,30.026,1.41,847.76,33.907,-39.182,-38.747,-61.383,-32.419,-20.642,-18.748,-2.404,-3.349,7.884,141.556,-0.04,882.766,30.735,31.347,1122.854,34.699,30.019,1.467,886.261,32.38,-41.61,-33.519,-62.071,-30.269,-19.049,-17.846,-1.732,-2.84,7.946,141.163,-0.065,907.036,26.922,-6.866,983.763,14.423,33.789,6.524,-60.966,-59.519,907.983,26.94,-5.774,971.196,14.706,32.715,5.945,-63.476,-61.601,731.466,26.417,-8.417,761.346,16.865,34.834,7.47,-60.081,-58.69,717.296,26.434,-4.81,801.448,16.714,31.243,6.433,-59.894,-59.148,165.277,25.047,-4.422,659.436,14.497,29.469,-38.265,-41.148,-55.281,-61.287,1.774,-1.428,-1.475,-1.331,-1.548,0.028,5,1679,11699
64,1,64,897.055,34.01,34.104,1785.679,41.167,33.028,1.497,1496.122,38.345,-33.997,-31.639,-58,-25.674,-3.369,-15.009,-3.656,-5.066,12.446,109.081,-0.003,893.091,33.709,34,1726.525,41.572,33.029,1.493,1489.544,38.526,-38.777,-39.882,-48.125,-25.261,-3.183,-15.332,-3.599,-4.522,13.381,111.171,-0.058,965.164,31.606,31.862,1124.561,39.013,30.021,1.401,853.154,33.652,-38.879,-35.041,-61.561,-30.38,-20.385,-18.638,-2.395,-3.35,7.487,146.155,-0.035,959.062,30.974,31.559,1168.986,34.999,30.04,1.46,901.099,31.999,-39.739,-33.171,-61.934,-28.976,-18.717,-17.552,-1.725,-2.842,7.561,144.876,-0.062,902.227,26.931,-7.159,967.274,14.699,34.089,5.853,-61.844,-60.143,903.699,26.94,-5.9,953.494,14.981,32.841,5.629,-64.235,-62.53,770.967,26.444,-7.953,792.091,16.296,34.397,5.79,-61.958,-61.471,756.475,26.447,-5.036,832.313,16.102,31.482,5.532,-61.486,-60.911,175.806,25.042,-4.749,670.71,14.224,29.791,-38.771,-41.844,-55.103,-60.781,1.685,-1.465,-1.43,-1.393,-1.652,0.029,5,1619,13660
65,1,65,901.127,33.991,34.103,1845.945,39.806,33.006,1.514,1564.053,36.5,-27.244,-29.311,-59.116,-25.832,-3.362,-14.762,-3.661,-5.067,12.52,107.057,-0.035,897.227,33.748,34.175,1839.747,40.611,33.024,1.495,1567.581,36.569,-46.712,-41.101,-50.829,-25.856,-3.169,-14.856,-3.608,-4.524,13.473,109.031,-0.07,984.465,31.717,31.958,1153.012,38.896,30.032,1.393,867.37,33.183,-38.436,-35.061,-60.417,-30.945,-20.32,-18.91,-2.408,-3.351,7.904,141.07,-0.041,978.102,31.015,31.605,1170.05,35.336,30.031,1.443,895.828,32.12,-41.083,-33.294,-60.831,-29.232,-18.734,-17.931,-1.737,-2.842,8.073,141.495,-0.071,905.087,26.934,-6.771,991.446,14.347,33.704,6.181,-61.159,-59.627,906.504,26.938,-5.459,978.974,14.579,32.396,6.21,-62.779,-61.295,782.824,26.439,-8.376,804.599,16.017,34.815,5.818,-61.905,-61.397,768.479,26.445,-5.156,839.978,15.942,31.601,5.238,-61.958,-61.696,175.866,25.037,-4.949,653.401,14.603,29.985,-38.997,-41.984,-55.239,-60.488,1.664,-1.475,-1.404,-1.398,-1.586,0.028,5,1628,11631
66,1,66,885.776,33.902,33.99,1738.274,41.192,33.026,1.504,1477.268,38.825,-31.856,-30.551,-58.886,-26.436,-3.314,-14.697,-3.656,-5.068,12.862,105.664,-0.007,882.017,33.664,33.947,1702.388,41.646,33.026,1.498,1478.928,38.779,-40.8,-39.482,-49.067,-26.083,-3.126,-15.019,-3.598,-4.526,13.735,107.691,-0.065,937.465,31.514,31.756,1096.692,39.035,30.017,1.395,842.452,34.049,-39.043,-34.718,-60.354,-31.338,-20.35,-18.571,-2.396,-3.351,8.091,139.642,-0.036,930.719,30.828,31.413,1119.232,35.347,30.031,1.452,875.924,32.849,-39.559,-33.554,-62.449,-29.647,-18.692,-17.552,-1.725,-2.842,8.29,139.442,-0.07,896.214,26.933,-7.261,959.3,14.831,34.194,5.549,-62.05,-60.59,897.016,26.939,-6.01,946.91,15.082,32.949,5.71,-64.039,-62.376,764.328,26.442,-8.221,784.687,16.443,34.663,5.89,-62.154,-61.47,749.771,26.446,-5.132,820.881,16.34,31.578,5.442,-62.096,-61.331,170.497,25.037,-4.956,641.141,14.896,29.993,-39.09,-41.929,-55.601,-60.506,1.683,-1.493,-1.407,-1.399,-1.55,0.029,5,1629,14183
67,1,67,891.777,34.024,34.123,1803.178,40.938,33.027,1.484,1513.648,37.9,-32.157,-30.605,-60.138,-26.051,-3.353,-14.748,-3.661,-5.062,12.91,104.791,-0.015,888.036,33.766,34.075,1754.093,41.631,33.021,1.471,1503.432,38.105,-42.203,-41.008,-50.36,-25.932,-3.161,-14.979,-3.608,-4.519,13.885,106.795,-0.066,974.344,31.437,31.676,1082.729,38.821,30.023,1.391,835.491,34.376,-39.767,-37.265,-61.262,-31.065,-20.601,-18.772,-2.407,-3.349,8.27,136.768,-0.034,967.426,30.737,31.314,1115.591,34.657,30.029,1.457,882.398,32.602,-44.312,-34.346,-62.133,-29.351,-18.949,-17.768,-1.737,-2.84,8.272,137.952,-0.067,893.586,26.923,-7.157,967.723,14.667,34.079,6.06,-61.362,-59.813,895.127,26.938,-5.946,952.331,14.993,32.884,5.908,-63.571,-61.935,787.349,26.444,-8.004,801.06,16.105,34.447,5.506,-63.215,-62.401,773.215,26.443,-4.866,838.056,15.972,31.308,5.46,-62.582,-62.002,181.657,25.041,-4.403,653.908,14.603,29.443,-38.021,-40.799,-55.365,-59.738,1.845,-1.411,-1.435,-1.346,-1.624,0.027,5,1639,20834
68,1,68,876.995,33.972,34.063,1752.043,41.559,33.026,1.49,1473.747,38.914,-30.561,-30.506,-58.2,-26.145,-3.32,-14.893,-3.655,-5.066,12.655,107.551,-0.002,872.729,33.679,33.965,1698.871,41.903,33.025,1.488,1470.976,38.979,-41.729,-39.549,-49.155,-25.5,-3.131,-15.244,-3.596,-4.523,13.592,108.448,-0.057,941.884,31.715,31.997,1147.38,39.442,30.03,1.396,862.144,33.372,-38.358,-33.534,-61.593,-30.787,-20.132,-18.33,-2.393,-3.351,7.577,143.59,-0.044,935.29,31.038,31.642,1155.66,36.084,30.016,1.441,881.035,32.549,-39.498,-32.988,-62.321,-29.41,-18.523,-17.316,-1.722,-2.842,7.885,143.503,-0.071,878.988,26.931,-7.147,945.855,15.036,34.078,5.886,-61.881,-60.376,879.465,26.941,-5.919,932.818,15.32,32.86,5.895,-63.817,-62.102,742.725,26.442,-7.731,774.787,16.66,34.173,6.094,-60.434,-59.544,728.51,26.448,-5.135,809.023,16.602,31.583,5.552,-60.918,-60.303,163.7,25.039,-4.919,633.957,15.079,29.958,-39.156,-42.092,-55.346,-60.889,1.649,-1.444,-1.403,-1.392,-1.516,0.028,5,1663,10104
69,1,69,886.353,33.995,34.112,1833.021,40.182,33.003,1.494,1546.506,36.89,-30.186,-30.205,-58.989,-25.988,-3.331,-14.615,-3.663,-5.063,12.707,106.185,-0.04,882.222,33.806,34.178,1819.15,41.097,33.03,1.479,1550.376,37.026,-46.111,-41.598,-50.235,-25.964,-3.133,-14.793,-3.612,-4.521,13.606,107.479,-0.081,961.829,31.551,31.795,1107.096,39.013,30.034,1.389,846.16,34.031,-39.389,-37.309,-61.021,-30.813,-20.571,-18.739,-2.413,-3.35,8.106,140.024,-0.04,955.328,30.847,31.428,1136.672,34.921,30.023,1.45,887.899,32.349,-43.007,-33.911,-62.41,-29.208,-18.995,-17.797,-1.742,-2.842,8.182,138.586,-0.063,887.633,26.919,-6.98,973.715,14.561,33.899,6.774,-60.489,-59.278,888.377,26.935,-5.761,961.867,14.83,32.696,6.473,-62.583,-61.035,769.015,26.439,-8.115,789.256,16.334,34.554,5.766,-62.178,-61.719,754.857,26.443,-4.966,827.405,16.191,31.409,5.546,-61.74,-61.271,177.308,25.045,-4.477,658.529,14.512,29.522,-38.195,-41.089,-55.336,-60.796,1.805,-1.48,-1.434,-1.423,-1.599,0.028,5,1608,11034
70,1,70,894.189,33.999,34.109,1804.127,40.793,33.022,1.504,1516.834,37.776,-31.314,-30.427,-57.665,-26.21,-3.354,-14.87,-3.656,-5.065,12.566,107.339,-0.012,890.441,33.709,34.048,1759.252,41.245,33.027,1.495,1517.306,37.807,-40.941,-40.512,-48.1,-25.786,-3.166,-15.114,-3.6,-4.522,13.467,109.258,-0.069,959.339,31.616,31.872,1120.984,39.22,30.022,1.397,850.224,33.77,-39.493,-35.726,-61.507,-31.036,-20.485,-18.767,-2.397,-3.35,7.798,142.365,-0.036,952.726,30.91,31.5,1134.088,35.589,30.033,1.452,877.696,32.804,-39.876,-33.641,-62.133,-29.412,-18.793,-17.704,-1.726,-2.842,8.012,142.005,-0.053,900.181,26.932,-7.06,973.71,14.607,33.992,6.151,-61.264,-59.583,901.827,26.943,-5.772,960.375,14.883,32.715,5.858,-63.729,-62.081,780.948,26.444,-8.176,799.598,16.136,34.62,5.66,-62.428,-61.887,766.416,26.448,-5.12,833.793,16.079,31.569,5.196,-62.454,-61.951,174.466,25.039,-4.861,637.469,14.993,29.901,-39.009,-41.892,-55.691,-60.46,1.672,-1.419,-1.409,-1.328,-1.575,0.029,5,1633,11202
71,1,71,895.268,33.891,33.979,1725.074,41.407,33.044,1.476,1459.159,39.462,-39.091,-31.211,-57.908,-26.171,-3.347,-14.912,-3.655,-5.065,13.151,103.182,0.002,891.401,33.634,33.859,1658.617,41.889,33.033,1.473,1447.391,39.687,-37.117,-40.518,-48.234,-25.746,-3.162,-15.293,-3.594,-4.521,14.002,104.633,-0.05,971.009,31.661,31.882,1127.722,39.076,30.02,1.388,852.849,33.661,-39.383,-34.377,-61.22,-31.519,-20.223,-18.351,-2.391,-3.351,8.079,139.028,-0.038,964.72,31.002,31.565,1152.008,35.563,30.031,1.439,883.819,32.558,-40.576,-33.275,-61.531,-29.629,-18.538,-17.305,-1.72,-2.842,8.253,138.567,-0.068,898.946,26.936,-7.276,953.508,14.933,34.212,5.326,-62.437,-61.088,900.396,26.948,-6.073,938.525,15.251,33.022,5.211,-65.321,-63.773,781.576,26.442,-8.462,800.616,16.109,34.904,5.801,-62.343,-61.937,767.266,26.447,-5.221,836.287,16.024,31.668,5.219,-62.188,-61.984,175.564,25.042,-5.061,648.144,14.744,30.103,-38.849,-41.815,-55.453,-60.385,1.663,-1.45,-1.398,-1.424,-1.612,0.028,5,1627,41918
72,1,72,881.425,34.01,34.12,1793.213,41.144,33.006,1.479,1500.288,38.046,-34.105,-31.025,-58.725,-26.995,-3.357,-14.586,-3.66,-5.062,13.071,103.161,-0.016,877.554,33.733,34.019,1719.75,41.917,33.022,1.47,1480.334,38.704,-41.362,-40.66,-50.324,-25.969,-3.16,-14.756,-3.607,-4.518,13.946,104.807,-0.06,948.867,31.658,31.885,1123.776,39.237,30.03,1.392,849.465,33.867,-39.205,-37.643,-60.695,-31.72,-20.902,-19.02,-2.406,-3.35,8.036,137.681,-0.04,942.452,30.931,31.522,1145.851,35.403,30.029,1.447,884.478,32.52,-40.945,-33.869,-62.07,-29.842,-19.264,-18.085,-1.735,-2.841,8.207,138.381,-0.077,881.66,26.921,-7.146,955.154,14.853,34.067,6.451,-61.117,-59.716,882.493,26.94,-6.045,937.533,15.238,32.985,5.8,-63.708,-62.15,745.392,26.435,-8.381,771.939,16.693,34.815,6.352,-61.168,-60.326,731.118,26.442,-5.017,810.017,16.556,31.459,5.727,-61.24,-60.543,169.306,25.045,-4.539,652.072,14.662,29.585,-38.476,-41.387,-55.346,-61.326,1.757,-1.411,-1.398,-1.429,-1.544,0.028,5,1718,127673
73,1,73,895.681,33.988,34.084,1787.923,40.925,33.013,1.473,1506.471,37.957,-33.581,-30.504,-59.604,-21.298,-3.324,-14.963,-3.656,-5.067,12.513,115.378,-0.008,891.692,33.785,34.113,1765.759,41.721,33.021,1.463,1509.403,37.955,-41.983,-39.737,-49.508,-22.516,-3.134,-15.248,-3.599,-4.523,13.313,117.896,-0.074,994.326,31.776,32.011,1158.018,39.207,30.02,1.366,870.713,32.967,-39.22,-33.446,-60.219,-22.589,-20.131,-18.363,-2.397,-3.351,8.198,149.142,-0.038,987.922,31.039,31.625,1151.018,36.087,30.017,1.412,880.357,32.582,-43.837,-33.322,-61.559,-22.398,-18.588,-17.42,-1.726,-2.842,8.405,149.657,-0.07,895.253,26.933,-6.954,967.739,14.7,33.886,5.631,-61.91,-60.429,896.694,26.94,-5.76,955.426,14.95,32.7,5.9,-63.699,-61.781,836.201,26.446,-8.528,850.573,15.156,34.974,4.786,-63.722,-63.319,821.621,26.457,-5.349,880.796,15.199,31.805,4.412,-63.862,-63.438,223.063,25.034,-5.607,635.8,15.016,30.64,-38.666,-41.627,-55.474,-58.181,1.685,-1.434,-1.405,-1.371,-1.621,0.029,5,1585,12652
74,1,74,890.154,33.958,34.055,1781.308,40.807,33.003,1.505,1509.136,37.803,-30.39,-30.036,-59.391,-26.759,-3.365,-14.735,-3.658,-5.061,12.654,105.567,-0.011,886.405,33.702,34.073,1766.273,41.32,33.022,1.495,1520.168,37.69,-45.413,-40.211,-49.521,-26.491,-3.169,-14.924,-3.603,-4.518,13.576,106.886,-0.071,940.536,31.555,31.788,1112.229,38.773,30.029,1.404,851.375,33.786,-39.456,-36.895,-61.061,-31.897,-20.653,-18.853,-2.402,-3.349,7.795,141.185,-0.037,933.991,30.829,31.421,1133.336,34.969,30.026,1.461,885.707,32.45,-41.73,-33.635,-61.451,-30.053,-19.018,-17.871,-1.73,-2.841,7.922,140.33,-0.071,897.448,26.932,-7.125,970.993,14.647,34.056,5.934,-61.621,-59.985,898.901,26.938,-5.748,960.41,14.865,32.687,5.977,-63.403,-61.926,762.442,26.437,-8.267,784.858,16.42,34.704,6.157,-61.937,-61.269,748.163,26.443,-4.939,822.079,16.301,31.382,5.622,-61.515,-61.062,168.315,25.035,-4.506,651.753,14.635,29.541,-38.4,-41.235,-55.273,-61.056,1.759,-1.42,-1.408,-1.383,-1.598,0.028,5,1683,12553
75,1,75,872.755,34,34.089,1783.851,41.061,33.037,1.497,1505.663,38.185,-32.357,-31.151,-59.553,-25.429,-3.383,-15.005,-3.657,-5.066,12.925,106.464,-0.014,868.579,33.711,34.077,1756.163,41.6,33.039,1.493,1512.031,38.044,-42.249,-40.615,-48.899,-25.55,-3.192,-15.264,-3.602,-4.523,13.79,109.058,-0.069,932.779,31.648,31.9,1124.773,39.338,30.025,1.388,850.034,33.804,-39.139,-35.813,-61.155,-29.885,-20.246,-18.525,-2.399,-3.351,8.094,144.22,-0.04,925.768,30.941,31.534,1146.197,35.484,30.028,1.446,883.592,32.545,-43.697,-33.441,-61.625,-28.43,-18.581,-17.437,-1.728,-2.841,8.182,145.064,-0.075,874.994,26.931,-7.132,954.382,14.901,34.064,6.035,-61.565,-59.994,874.853,26.937,-5.759,942.062,15.152,32.695,6.317,-62.944,-61.222,753.171,26.441,-8.138,780.141,16.538,34.579,5.878,-61.369,-60.493,738.743,26.447,-5.185,817.23,16.42,31.632,5.522,-61.258,-60.515,169.995,25.045,-4.895,649.907,14.713,29.94,-38.874,-41.816,-55.093,-61.103,1.682,-1.454,-1.423,-1.38,-1.67,0.029,5,1642,13328
76,1,76,876.064,33.982,34.101,1806.025,40.676,33.007,1.501,1522.503,37.506,-29.642,-30.867,-58.164,-26.49,-3.351,-15.004,-3.656,-5.065,12.842,104.671,-0.024,871.62,33.774,34.12,1783.672,41.361,33.022,1.491,1527.345,37.512,-43.803,-39.977,-49.402,-25.492,-3.154,-15.209,-3.597,-4.521,13.734,106.528,-0.075,928.74,31.647,31.911,1130.517,39.242,30.043,1.398,854.714,33.76,-39.265,-35.184,-61.939,-30.739,-20.114,-18.429,-2.395,-3.35,8.043,141.014,-0.035,922.053,30.977,31.587,1160.562,35.482,30.019,1.45,889.448,32.263,-41.609,-33.31,-62.563,-29.279,-18.511,-17.377,-1.725,-2.842,8.202,141.193,-0.074,876.078,26.919,-6.862,958.864,14.789,33.78,6.702,-60.916,-59.637,875.865,26.932,-5.75,947.602,15.047,32.682,6.446,-62.797,-61.154,740.222,26.436,-7.817,771.314,16.714,34.253,6.207,-60.496,-59.742,725.827,26.445,-5.028,810.183,16.565,31.473,5.761,-60.641,-59.591,167.149,25.043,-4.829,657.352,14.531,29.872,-38.913,-41.867,-55.183,-60.883,1.682,-1.419,-1.465,-1.356,-1.582,0.028,5,1632,13945
77,1,77,896.296,33.946,34.041,1766.959,41.006,33.032,1.502,1492.036,38.491,-32.775,-30.412,-58.131,-25.999,-3.34,-14.82,-3.656,-5.066,12.678,107.727,0,892.317,33.694,34,1729.082,41.504,33.028,1.496,1493.996,38.407,-40.291,-39.222,-47.707,-25.695,-3.154,-15.179,-3.599,-4.522,13.551,108.752,-0.061,956.614,31.629,31.872,1121.959,39.187,30.02,1.397,848.598,33.828,-40.644,-37.431,-60.804,-31.031,-20.182,-18.312,-2.397,-3.351,7.67,145.974,-0.037,950.347,30.955,31.525,1140.319,35.598,30.017,1.449,876.401,32.728,-40.607,-34.508,-61.331,-29.37,-18.534,-17.278,-1.725,-2.842,7.866,144.087,-0.061,903.255,26.933,-7.236,967.86,14.699,34.169,5.667,-61.887,-60.321,905.174,26.943,-5.901,955.89,14.952,32.843,5.667,-64.184,-62.439,771.979,26.439,-8.362,792.371,16.268,34.801,5.882,-62.317,-61.727,757.51,26.448,-5.206,827.643,16.206,31.655,5.311,-62.089,-61.768,170.261,25.043,-4.957,641.751,14.903,30,-39.1,-42.078,-55.48,-60.712,1.643,-1.418,-1.399,-1.441,-1.552,0.028,5,1643,13566
